level,height_geopotential,height_geometric,temperature,density,height_barometric,altitude
52,19068.35,19125.61,216.65,0.101968,19067.72984999344,62558.16879919107
53,18701.27,18756.34,216.65,0.108045,18700.62153500205,61353.74519357628
54,18341.27,18394.25,216.65,0.114355,18340.672463429622,60172.80991938852
55,17987.41,18038.35,216.65,0.120917,17986.831147749952,59011.913214402724
56,17638.78,17687.77,216.65,0.127751,17638.177386893505,57868.03604623853
57,17294.53,17341.62,216.65,0.134877,17293.95325629518,56738.69178574534
58,16953.83,16999.08,216.65,0.142321,16953.27014071457,55620.965028591105
59,16616.09,16659.55,216.65,0.150106,16615.536994395916,54512.91664828056
60,16281.1,16322.83,216.65,0.158248,16280.562006410071,53413.91734386506
61,15948.85,15988.88,216.65,0.16676,15948.31062323533,52323.853750772076
62,15619.3,15657.7,216.65,0.175655,15618.761017554329,51242.654257068
63,15292.44,15329.24,216.65,0.184946,15291.901172734031,50170.279438103775
64,14968.24,15003.5,216.65,0.194646,14967.726450443257,49106.714076257405
65,14646.68,14680.44,216.65,0.20477,14646.17563274659,48051.75732528409
66,14327.75,14360.05,216.65,0.215331,14327.262247543376,47005.453568055695
67,14011.41,14042.3,216.65,0.226345,14010.917066161475,45967.57567638279
68,13697.65,13727.18,216.65,0.237825,13697.16737912292,44938.213186098816
69,13386.45,13414.65,216.65,0.249786,13385.987840724,43917.28294200787
70,13077.79,13104.7,216.65,0.262244,13077.33623133604,42904.64642826784
71,12771.64,12797.3,216.65,0.275215,12771.18052007232,41900.19855666771
72,12467.99,12492.44,216.65,0.288713,12467.540766121054,40904.005138192435
73,12166.81,12190.1,216.65,0.302755,12166.372480752829,39915.92021244366
74,11868.08,11890.24,216.65,0.317357,11867.66066377403,38935.89456618776
75,11571.79,11592.86,216.65,0.332536,11571.375300242416,37963.82972520478
76,11277.92,11297.93,216.65,0.348308,11277.511044002604,36999.70814961484
77,10986.7,11005.69,216.74,0.364545,10986.504009026406,36044.96065953545
78,10696.22,10714.22,218.62,0.378253,10696.271469193349,35092.754164020174
79,10405.61,10422.64,220.51,0.392358,10405.64593100748,34139.25830383031
80,10114.89,10130.98,222.4,0.406868,10114.922855556988,33185.44243949143
81,9824.08,9839.26,224.29,0.42179,9824.121858131031,32231.370925626743
82,9533.2,9547.49,226.18,0.43713,9533.277143019532,31277.15598103521
83,9242.26,9255.7,228.08,0.452897,9242.083785127936,30321.797195301624
84,8951.3,8963.9,229.97,0.469097,8951.160673067063,29367.32504287094
85,8660.32,8672.11,231.86,0.485737,8660.232399871562,28412.835957583862
86,8369.35,8380.36,233.75,0.502825,8369.302066230674,27458.34011230536
87,8078.41,8088.67,235.64,0.520367,8078.400095101411,26503.937319886518
88,7787.51,7797.04,237.53,0.53837,7787.541966986654,25549.678369378784
89,7496.68,7505.51,239.42,0.556842,7496.729989073843,24595.57083029476
90,7205.93,7214.09,241.31,0.57579,7205.979427535764,23641.664788503163
91,6915.29,6922.8,243.2,0.595219,6915.32883310282,22688.08672277828
92,6624.76,6631.66,245.09,0.615138,6624.767106195166,21734.80021717574
93,6334.38,6340.68,246.98,0.635553,6334.319084221586,20781.886759257173
94,6044.15,6049.89,248.86,0.656471,6044.289512197452,19830.34616862681
95,5754.1,5759.3,250.75,0.677899,5754.1044779839885,18878.29553144353
96,5464.6,5469.3,252.63,0.699815,5464.666840162737,17928.696982161207
97,5176.77,5180.98,254.5,0.722139,5176.862621305842,16984.457418982423
98,4892.26,4896.02,256.35,0.744735,4892.35141305124,16051.021696362337
99,4612.58,4615.92,258.17,0.767472,4612.616478465052,15133.256162943082
100,4338.77,4341.73,259.95,0.790242,4338.810601955795,14234.942919802477
101,4071.8,4074.41,261.68,0.812937,4072.009508837272,13359.611249466114
102,3812.53,3814.82,263.37,0.835453,3812.599400388894,12508.528216498995
103,3561.7,3563.69,265.0,0.857686,3561.7896519670467,11685.661587818395
104,3319.94,3321.67,266.57,0.879541,3320.0776459882754,10892.643195499591
105,3087.75,3089.25,268.08,0.900929,3087.875252964156,10130.824320748543
106,2865.54,2866.83,269.52,0.921768,2865.803666003042,9402.242998697644
107,2653.58,2654.69,270.9,0.941988,2653.7831829062343,8706.637739193682
108,2452.04,2452.99,272.21,0.961527,2452.2490914352097,8045.43665169032
